,Run Number,BO Iter,Best Error,Exploration Bias,Max EI,Theta Max EI,Min Obj,Min Obj Act,Theta Min Obj,Min Obj Cum.,Theta Min Obj Cum.,Time/Iter,Sep Fact,BO Method,Max Evals,Total Run Time
282,2,0,9.650632465771888,0.6973438818606226,33.58983399222174,[ 0.98875091 -0.99191757],0.00039047863049557473,0.0016945080147404974,[ 0.9946436  -0.99356572],0.0016945080147404974,[ 0.9946436  -0.99356572],1.679267406463623,0.8,A2,6,10.075604438781738
283,2,1,0.0034864952482902157,9.650632465771888,0.1666670270277707,[ 1.00264701 -1.00023916],3.602369409256794e-06,9.39783347570446e-05,[ 1.00298218 -1.00038519],9.39783347570446e-05,[ 1.00298218 -1.00038519],1.317159652709961,0.8,A2,6,7.902957916259766
284,2,2,7.201143041281856e-05,9.650632465771888,0.0025742103276143635,[ 1.00111606 -1.00008205],6.051555008138065e-07,1.6586932534173017e-05,[ 1.00125946 -1.00014598],1.6586932534173017e-05,[ 1.00125946 -1.00014598],1.2027335166931152,0.8,A2,6,7.216401100158691
285,2,3,1.2684765152828916e-05,9.650632465771888,0.00025942500784625823,[ 1.00069499 -1.00004516],2.2803111919856704e-07,6.419811565601449e-06,[ 1.00078543 -1.00008589],6.419811565601449e-06,[ 1.00078543 -1.00008589],1.3861565589904785,0.8,A2,6,8.316939353942871
286,2,4,4.899479221697747e-06,9.650632465771888,6.835097436327054e-05,[ 1.0004991  -1.00003052],1.1569867206941055e-07,3.319768517004828e-06,[ 1.00056567 -1.0000594 ],3.319768517004828e-06,[ 1.00056567 -1.0000594 ],1.3674638271331787,0.8,A2,6,8.204782962799072
287,2,5,2.522699757949659e-06,9.650632465771888,2.6514783410459765e-05,[ 1.00038825 -1.00002128],6.870474019952111e-08,1.99759720124364e-06,[ 1.00043933 -1.00004457],1.99759720124364e-06,[ 1.00043933 -1.00004457],1.313194751739502,0.8,A2,6,7.879168510437012
288,3,0,9.650632465771888,0.6973438818606226,33.589833992236166,[ 0.98875189 -0.9919182 ],0.00039047863059006826,0.0016944980609094884,[ 0.99464374 -0.99356571],0.0016944980609094884,[ 0.99464374 -0.99356571],1.5638527870178223,0.8,A2,6,9.383116722106934
289,3,1,0.0034859240730011755,9.650632465771888,0.16663947763035644,[ 1.00264676 -1.00023912],3.601705131413733e-06,9.396182977279696e-05,[ 1.00298192 -1.00038514],9.396182977279696e-05,[ 1.00298192 -1.00038514],1.2488441467285156,0.8,A2,6,7.493064880371094
290,3,2,7.199769744588007e-05,9.650632465771888,0.002573591375281398,[ 1.00111599 -1.00008203],6.05053656626503e-07,1.6592604348957386e-05,[ 1.00125965 -1.00014606],1.6592604348957386e-05,[ 1.00125965 -1.00014606],1.0895678997039795,0.8,A2,6,6.537407398223877
291,3,3,1.2683127792640402e-05,9.650632465771888,0.00025937713796499585,[ 1.00069494 -1.00004516],2.2799336606793548e-07,6.41908241595977e-06,[ 1.00078539 -1.00008588],6.41908241595977e-06,[ 1.00078539 -1.00008588],1.2942240238189697,0.8,A2,6,7.765344142913818
292,3,4,4.898726329943214e-06,9.650632465771888,6.833555505175921e-05,[ 1.00049884 -1.0000308 ],1.1567903809649883e-07,3.3166383837779e-06,[ 1.00056543 -1.00005929],3.3166383837779e-06,[ 1.00056543 -1.00005929],1.2493774890899658,0.8,A2,6,7.496264934539795
293,3,5,2.5206628325524376e-06,9.650632465771888,2.6483045661980636e-05,[ 1.00038821 -1.00002127],6.869114836118648e-08,1.997234784754048e-06,[ 1.00043929 -1.00004456],1.997234784754048e-06,[ 1.00043929 -1.00004456],1.2255918979644775,0.8,A2,6,7.353551387786865
